M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],M41[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485]
0.176692,0.114822,0.104754,0.0926244,0.10758,0.130084,0.0962662,0.0751705,0.0943776,0.0838883,0.0717324,0.063226,0.0878011,0.0958991,0.0720798,0.0693203,0.103817,0.0898981,0.205015,0.154651,0.133295,0.132474,0.136278,0.120524,0.114411,0.117095,0.1163,0.133303,0.140922,0.15716,0.124876,0.145758,0.126648,0.130629,0.122746,0.115158
0.180891,0.114625,0.100834,0.0892987,0.104369,0.130603,0.0956542,0.074924,0.0897093,0.0823178,0.071684,0.0629203,0.0851793,0.0897799,0.0689116,0.0657654,0.100739,0.0862372,0.211449,0.157089,0.13408,0.132928,0.131162,0.122728,0.115336,0.116422,0.115619,0.126476,0.139878,0.160186,0.123251,0.142257,0.123832,0.130938,0.11984,0.111447
0.187911,0.117691,0.107627,0.0916516,0.102904,0.135319,0.0956392,0.0761054,0.0928335,0.083696,0.0717658,0.0645861,0.0850369,0.0937758,0.0677118,0.0679674,0.101295,0.0882289,0.218001,0.156465,0.130876,0.1329,0.131736,0.118281,0.116307,0.111671,0.11472,0.127173,0.139957,0.158807,0.122934,0.14045,0.122559,0.128706,0.118789,0.113016
0.188546,0.114775,0.101243,0.0872744,0.103346,0.130967,0.0923267,0.0710508,0.090136,0.0833001,0.0712059,0.0598637,0.0830564,0.0919208,0.0666216,0.0613986,0.100493,0.0843629,0.224585,0.158283,0.13068,0.135192,0.134558,0.119687,0.111314,0.117627,0.117199,0.126927,0.139037,0.15453,0.121328,0.140957,0.120901,0.129527,0.118531,0.110374
0.185094,0.111162,0.097827,0.0853888,0.0972356,0.12249,0.0949935,0.0684975,0.0879597,0.0761932,0.0649102,0.0585564,0.0757171,0.0887561,0.0694311,0.059718,0.096876,0.0787982,0.218788,0.15082,0.124068,0.127332,0.121696,0.112029,0.108561,0.107521,0.107755,0.122073,0.130534,0.150489,0.11544,0.136515,0.115534,0.121271,0.11264,0.104092
0.183252,0.106211,0.0924396,0.0785193,0.0969158,0.119604,0.0877815,0.0737715,0.0842945,0.0762551,0.066182,0.0601889,0.0777594,0.0864752,0.064932,0.0624878,0.0951738,0.0844376,0.210027,0.151491,0.12168,0.1241,0.12495,0.109546,0.110538,0.106158,0.110212,0.11944,0.13072,0.155363,0.116172,0.133287,0.117433,0.121546,0.113454,0.108808
0.173431,0.105365,0.0918804,0.083946,0.0963674,0.128686,0.0876918,0.067795,0.0857611,0.0831058,0.0670142,0.0588826,0.0813644,0.0942021,0.0658764,0.0608785,0.100232,0.0835027,0.199938,0.147102,0.129186,0.130354,0.129211,0.115505,0.109945,0.111856,0.107906,0.122441,0.130996,0.154266,0.118176,0.136055,0.11815,0.131532,0.117248,0.107583
0.159638,0.11178,0.0987411,0.0854686,0.103046,0.12726,0.098196,0.0725673,0.0913735,0.0847569,0.0745586,0.0654014,0.0889411,0.0970531,0.0715313,0.0686705,0.106895,0.0901693,0.173742,0.13582,0.113237,0.115558,0.117601,0.10732,0.101882,0.105524,0.106237,0.117065,0.12813,0.145509,0.108307,0.127139,0.108401,0.116794,0.112583,0.0993685
0.14754,0.104055,0.0970804,0.0826018,0.100919,0.126742,0.088865,0.0637523,0.0893826,0.0749909,0.0677808,0.0622373,0.0823141,0.0940261,0.0726857,0.0713992,0.106952,0.0822426,0.165753,0.140265,0.119829,0.128765,0.122712,0.116883,0.102908,0.10402,0.111501,0.119373,0.125948,0.146182,0.110127,0.136819,0.116948,0.120601,0.114008,0.0994447
0.142938,0.109353,0.0989473,0.0853669,0.0992332,0.125119,0.0930229,0.0748459,0.0888989,0.0748986,0.0737265,0.0625652,0.086685,0.0950633,0.070204,0.0676767,0.0992337,0.0881116,0.166793,0.14114,0.123478,0.122314,0.122667,0.112668,0.107996,0.10967,0.109516,0.122167,0.130965,0.153713,0.11284,0.133144,0.122129,0.128155,0.112724,0.108539
